140113,main-heartbeat,51300,38932,31732,31732,51300,31732,0,0,loopTask,8160,8160,3620,2404,1968
145113,main-heartbeat,51300,38932,31732,31732,51300,31732,0,0,loopTask,8160,8160,3620,2404,1968
150113,main-heartbeat,51300,38932,31732,31732,51300,31732,0,0,loopTask,8160,8160,3620,2404,1968
155113,main-heartbeat,51300,38932,31732,31732,51300,31732,0,0,loopTask,8160,8160,3620,2404,1968
160113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
165113,main-heartbeat,51228,38932,31732,31732,51228,31732,0,0,loopTask,8160,8160,3620,2404,1968
170113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
175113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
180113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
185113,main-heartbeat,51228,38932,31732,31732,51228,31732,0,0,loopTask,8160,8160,3620,2404,1968
190113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
195113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
200113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
205113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
210113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
215113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
220113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
225113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
230113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
235113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
240113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
245113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
250113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
255113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
260113,main-heartbeat,51308,38932,31732,31732,51308,31732,0,0,loopTask,8160,8160,3620,2404,1968
265113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
270113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
275113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
280113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
285113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
290113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
295113,main-heartbeat,51276,38932,31732,31732,51276,31732,0,0,loopTask,8160,8160,3620,2404,1968
300113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2404,1968
305113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2404,1968
310113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2404,1968
315113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1968
320113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
325113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
330113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
335113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
340113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
345113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
350113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
355113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
360113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
365113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
370113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
375113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
380113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
385113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
390113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
395113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
400113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
405113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2372,1712
410113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2304,1712
415113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2304,1712
420113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2304,1712
425113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2304,1712
430113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2304,1712
435113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2304,1712
440113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2304,1712
445113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2304,1712
450113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2304,1712
455113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2304,1712
460113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2304,1712
465113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3620,2304,1712
470113,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3540,2304,1712
475115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
480115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
485115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
490115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
495115,main-heartbeat,51284,38932,31732,31732,51284,31732,0,0,loopTask,8160,8160,3476,2304,1712
500115,main-heartbeat,51080,38932,31732,31732,51080,31732,0,0,loopTask,8160,8160,3476,2304,1712
505115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
510115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
515115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
520115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
525115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
530115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
535115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
540115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
545115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
550115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
555115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
560115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
565115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
570115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
575115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
580115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
585115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
590115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
595115,main-heartbeat,51224,38932,31732,31732,51224,31732,0,0,loopTask,8160,8160,3476,2304,1712
600115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
605115,main-heartbeat,51272,38932,31732,31732,51272,31732,0,0,loopTask,8160,8160,3476,2304,1712
